canonical,variants,total_amount,edge_count,fec_id,evidence,approve_yn
Pfizer Inc.,Pfizer,10334715,501,,punctuation/suffix normalized,
National Nurses United for Patient Protection,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,10136533,22,C00490375,casing only; FEC ID C00490375,
National Victory Action Fund,NATIONAL VICTORY ACTION FUND,9665765,50,C00760124,casing only; FEC ID C00760124,
314 ACTION FUND,314 Action Fund,9484512,42,C00633248,casing only; FEC ID C00633248,
Protect Our Future PAC,PROTECT OUR FUTURE PAC,9192008,10,C00801514,casing only; FEC ID C00801514,
MAJORITY PAC,Majority PAC,9000983,168,C00741355,casing only; FEC ID C00741355,
American Federation of State County & Municipal Employees P E O P L E,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E,8358003,407,C00011114,FEC ID C00011114,
SOUTH CAROLINA PATRIOTS PAC,South Carolina Patriots PAC,8298056,2,C00872085,casing only; FEC ID C00872085,
PROTECT FREEDOM POLITICAL ACTION COMMITTEE,Protect Freedom Political Action Committee,6929270,19,C00657866,casing only; FEC ID C00657866,
Senate Conservatives Fund,SENATE CONSERVATIVES FUND,6513891,43,C00448696,casing only; FEC ID C00448696,
The Lincoln Project,THE LINCOLN PROJECT,6347196,20,C00725820,casing only; FEC ID C00725820,
"WITH HONOR FUND, INC.",With Honor Fund,5639805,6,C00659011,FEC ID C00659011,
Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,5453910,189,C00580068,casing only; FEC ID C00580068,
